Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Alaska,79.28%,584,"$2,117,969,769",7.18%,-29.01%
Aleutians East Borough,0.00%,1,"$8,157",1.95%,0.48%
Aleutians West Census Area,100.00%,3,"$3,103,569",6.59%,-47.02%
Anchorage Municipality,79.21%,202,"$1,076,361,512",8.69%,-25.81%
Bethel Census Area,85.71%,7,"$10,839,405",-2.50%,-67.82%
Bristol Bay Borough,100.00%,2,"$2,614,210",9.60%,-36.06%
Chugach Census Area,80.00%,15,"$22,530,813",6.17%,-56.53%
Copper River Census Area,100.00%,4,"$27,181,444",-0.68%,-79.05%
Denali Borough,100.00%,4,"$567,912",-5.23%,-54.43%
Dillingham Census Area,75.00%,8,"$97,656,503",15.59%,-46.26%
Fairbanks North Star Borough,71.01%,69,"$73,259,206",9.04%,-19.08%
Haines Borough,77.78%,9,"$942,909",-4.63%,-37.56%
Hoonah-Angoon Census Area,0.00%,1,"$55,866",56.65%,52.25%
Juneau City and Borough,74.51%,51,"$207,602,444",5.67%,-23.07%
Kenai Peninsula Borough,80.28%,71,"$43,156,886",6.06%,-27.82%
Ketchikan Gateway Borough,85.71%,14,"$11,105,523",1.73%,-41.98%
Kodiak Island Borough,78.57%,14,"$48,757,292",15.08%,-33.48%
Kusilvak Census Area,100.00%,2,"$1,487,132",-3.53%,-100.02%
Lake and Peninsula Borough,100.00%,2,"$312,016",46.89%,-20.68%
Matanuska-Susitna Borough,81.63%,49,"$144,070,688",4.66%,-37.93%
Nome Census Area,75.00%,4,"$162,915,787",19.43%,-34.56%
North Slope Borough,100.00%,5,"$84,996,022",12.96%,-45.04%
Northwest Arctic Borough,100.00%,2,"$80,551,010",7.61%,-23.85%
Petersburg Borough,100.00%,5,"$3,341,058",-11.93%,-30.35%
Prince of Wales-Hyder Census Area,100.00%,1,"$803,158",32.10%,-45.60%
Sitka City and Borough,75.00%,24,"$9,924,828",8.16%,-19.16%
Southeast Fairbanks Census Area,87.50%,8,"$1,391,410",2.66%,-39.85%
Wrangell City and Borough,100.00%,2,"$613,129",11.63%,-30.66%
Yukon-Koyukuk Census Area,100.00%,5,"$1,819,880",-0.78%,-58.91%
