Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Florida,69.89%,"4,265","$13,258,507,449",6.70%,-16.64%
10th Congressional district,65.65%,230,"$797,973,965",9.81%,-11.55%
11th Congressional district,61.25%,80,"$201,455,777",9.46%,-6.63%
12th Congressional district,73.74%,99,"$225,148,026",4.71%,-40.51%
13th Congressional district,64.16%,173,"$673,128,407",5.37%,-10.48%
14th Congressional district,76.39%,288,"$1,263,162,328",4.66%,-21.72%
15th Congressional district,62.96%,108,"$423,010,706",5.54%,-12.60%
16th Congressional district,63.53%,85,"$144,326,383",7.08%,-7.35%
17th Congressional district,58.70%,184,"$247,799,125",9.81%,-6.23%
18th Congressional district,64.34%,129,"$303,359,855",8.26%,-10.37%
19th Congressional district,60.89%,179,"$324,311,223",11.47%,-7.47%
1st Congressional district,70.63%,126,"$436,884,207",5.96%,-13.62%
20th Congressional district,73.83%,149,"$802,083,888",5.45%,-22.78%
21st Congressional district,65.07%,146,"$319,228,080",7.56%,-11.02%
22nd Congressional district,65.36%,153,"$408,483,728",10.66%,-10.92%
23rd Congressional district,68.05%,169,"$367,391,673",6.86%,-9.95%
24th Congressional district,79.88%,164,"$310,080,580",4.13%,-47.77%
25th Congressional district,70.67%,75,"$257,847,092",5.33%,-23.07%
26th Congressional district,75.89%,112,"$521,906,700",6.61%,-20.87%
27th Congressional district,76.17%,256,"$1,565,481,588",7.26%,-23.27%
28th Congressional district,75.20%,125,"$189,799,351",8.02%,-30.48%
2nd Congressional district,80.29%,279,"$1,124,972,152",3.39%,-37.97%
3rd Congressional district,73.43%,207,"$406,273,611",4.71%,-22.36%
4th Congressional district,75.54%,139,"$328,832,467",6.97%,-23.24%
5th Congressional district,66.47%,173,"$574,538,619",6.48%,-12.10%
6th Congressional district,66.92%,130,"$398,851,894",8.48%,-14.68%
7th Congressional district,65.17%,89,"$105,343,736",5.28%,-12.96%
8th Congressional district,66.88%,157,"$320,482,664",6.96%,-14.54%
9th Congressional district,68.85%,61,"$216,349,624",3.83%,-38.29%
