Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",47.50%,120,"$20,055,929",21.47%,1.10%
Education,66.67%,72,"$23,781,446",8.61%,-7.73%
Environment and animals,46.51%,43,"$7,565,350",20.71%,4.41%
Health,68.33%,120,"$122,957,067",8.04%,-9.43%
Hospitals,52.00%,25,"$56,425,989",4.96%,-0.81%
Human services,63.54%,491,"$275,664,608",10.08%,-6.17%
"International, foreign affairs",57.14%,7,"$965,276",7.90%,-1.56%
Mutual/membership benefit,100.00%,1,"$14,124",-0.81%,-3.83%
"Public, societal benefit",59.05%,105,"$213,766,625",17.15%,-10.18%
Religion-related,53.85%,26,"$20,634,756",11.11%,-5.54%
Unclassified,70.13%,308,"$483,723,737",7.94%,-8.54%
Universities,64.29%,28,"$143,514,576",5.09%,-1.87%
Total,62.93%,"1,346","$1,369,069,483",10.07%,-5.87%
