Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",60.76%,158,"$133,754,699",16.07%,-7.79%
Education,63.50%,137,"$306,409,425",9.73%,-9.35%
Environment and animals,51.61%,62,"$75,245,153",12.75%,-4.17%
Health,71.90%,210,"$347,660,953",6.10%,-14.07%
Hospitals,54.79%,73,"$236,635,695",5.09%,-1.89%
Human services,74.25%,668,"$938,141,526",7.63%,-19.88%
"International, foreign affairs",53.85%,13,"$7,669,901",2.92%,-1.95%
"Public, societal benefit",73.48%,181,"$310,317,590",8.12%,-28.46%
Religion-related,54.00%,50,"$9,626,846",8.96%,-1.96%
Unclassified,66.36%,440,"$1,095,662,940",6.51%,-8.29%
Universities,61.54%,26,"$833,321,505",6.23%,-4.55%
Total,68.24%,"2,018","$4,294,446,233",7.74%,-12.32%
