Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Ohio,71.55%,"4,116","$18,034,216,002",7.12%,-17.86%
Adams County,0.00%,2,"$3,810,544",9.19%,3.68%
Allen County,74.42%,43,"$103,029,560",6.13%,-22.06%
Ashland County,50.00%,18,"$26,406,787",10.63%,1.03%
Ashtabula County,67.74%,31,"$30,027,903",8.74%,-24.86%
Athens County,62.50%,40,"$60,451,999",12.01%,-10.19%
Auglaize County,31.25%,16,"$2,018,389",11.61%,4.93%
Belmont County,66.67%,12,"$11,680,772",5.37%,-12.78%
Brown County,62.50%,8,"$16,742,105",7.77%,-17.78%
Butler County,65.08%,63,"$57,538,935",9.83%,-10.04%
Carroll County,80.00%,5,"$825,393",19.69%,-6.41%
Champaign County,50.00%,12,"$2,510,186",5.95%,-8.21%
Clark County,71.74%,46,"$56,416,829",5.76%,-16.29%
Clermont County,45.83%,24,"$46,556,513",16.72%,2.88%
Clinton County,90.00%,10,"$9,010,265",7.82%,-23.11%
Columbiana County,63.33%,30,"$38,522,454",13.25%,-22.05%
Coshocton County,84.62%,13,"$25,335,545",5.89%,-10.43%
Crawford County,58.33%,12,"$5,651,744",11.67%,-11.99%
Cuyahoga County,73.06%,568,"$2,184,780,068",9.31%,-16.80%
Darke County,61.11%,18,"$13,118,091",11.52%,-5.58%
Defiance County,92.31%,13,"$18,963,695",3.01%,-24.18%
Delaware County,60.78%,51,"$62,407,088",9.69%,-5.83%
Erie County,61.54%,26,"$34,026,824",13.37%,-12.26%
Fairfield County,67.65%,34,"$22,541,497",11.79%,-13.73%
Fayette County,77.78%,9,"$9,265,884",-1.84%,-11.72%
Franklin County,83.90%,739,"$11,321,074,764",3.13%,-54.73%
Fulton County,75.00%,12,"$7,391,188",1.53%,-8.64%
Gallia County,71.43%,14,"$23,498,475",7.78%,-8.31%
Geauga County,72.00%,25,"$8,463,792",3.65%,-8.64%
Greene County,74.36%,39,"$51,772,388",8.17%,-17.07%
Guernsey County,94.12%,17,"$57,738,164",4.19%,-44.31%
Hamilton County,63.43%,391,"$983,809,960",8.88%,-9.01%
Hancock County,66.67%,30,"$34,666,659",11.20%,-10.91%
Hardin County,75.00%,12,"$9,430,518",13.37%,-23.85%
Harrison County,100.00%,2,"$281,271",-29.27%,-42.17%
Henry County,78.57%,14,"$12,477,360",7.64%,-47.69%
Highland County,53.85%,13,"$16,035,756",6.45%,-12.71%
Hocking County,57.14%,7,"$4,759,439",7.50%,-5.81%
Holmes County,30.00%,10,"$7,078,622",15.76%,8.55%
Huron County,54.55%,11,"$2,423,402",10.23%,-11.61%
Jackson County,66.67%,15,"$68,481,526",3.85%,-27.90%
Jefferson County,62.07%,29,"$19,944,338",6.15%,-6.36%
Knox County,59.26%,27,"$27,358,734",15.36%,-8.16%
Lake County,67.50%,40,"$46,057,047",12.33%,-15.51%
Lawrence County,100.00%,6,"$27,384,847",7.39%,-36.29%
Licking County,64.58%,48,"$38,000,554",8.56%,-16.42%
Logan County,73.33%,15,"$10,809,540",8.17%,-11.97%
