Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.79%,38,"$14,865,249",9.93%,-7.63%
Education,56.10%,41,"$63,340,512",8.85%,-4.38%
Environment and animals,41.18%,17,"$6,010,426",29.19%,8.68%
Health,72.73%,33,"$42,515,314",11.48%,-7.94%
Hospitals,48.00%,25,"$198,095,483",6.35%,0.61%
Human services,62.99%,154,"$153,984,248",11.83%,-8.52%
"International, foreign affairs",0.00%,1,"$49,895",21.30%,17.89%
"Public, societal benefit",58.33%,48,"$97,633,499",15.75%,-11.13%
Religion-related,66.67%,12,"$3,929,930",19.52%,-13.91%
Unclassified,59.81%,107,"$259,738,096",11.13%,-7.67%
Universities,80.00%,5,"$15,461,657",4.98%,-3.42%
Total,60.71%,481,"$855,624,309",11.55%,-5.73%
