Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",62.11%,190,"$102,207,477",16.53%,-6.56%
Education,63.78%,185,"$338,799,833",10.13%,-8.70%
Environment and animals,45.60%,125,"$52,457,194",19.33%,3.03%
Health,65.42%,214,"$540,400,023",7.42%,-10.47%
Hospitals,39.47%,38,"$95,724,343",8.04%,2.99%
Human services,65.32%,692,"$752,363,522",9.79%,-10.92%
"International, foreign affairs",54.55%,11,"$5,048,554",13.16%,-5.80%
Mutual/membership benefit,100.00%,2,"$8,602,845",-7.17%,-100.42%
"Public, societal benefit",64.52%,186,"$220,218,431",12.53%,-12.29%
Religion-related,47.83%,46,"$11,287,315",10.29%,0.61%
Unclassified,67.37%,521,"$783,252,177",8.12%,-9.78%
Universities,53.85%,26,"$334,161,892",6.33%,-0.65%
Total,63.28%,"2,236","$3,244,523,606",10.10%,-8.12%
