Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Wyoming,70.26%,380,"$271,006,962",5.89%,-26.44%
Albany County,71.43%,35,"$23,444,400",8.24%,-22.61%
Big Horn County,100.00%,4,"$1,188,697",0.45%,-95.27%
Campbell County,62.50%,16,"$10,816,497",8.86%,-18.60%
Carbon County,55.56%,9,"$3,510,854",10.79%,-68.65%
Converse County,100.00%,10,"$5,315,408",0.46%,-64.72%
Crook County,80.00%,5,"$1,155,098",-0.14%,-70.86%
Fremont County,71.88%,32,"$10,755,324",4.82%,-27.36%
Goshen County,87.50%,8,"$2,427,669",-6.52%,-45.24%
Hot Springs County,80.00%,5,"$5,362,449",-7.08%,-7.34%
Johnson County,100.00%,6,"$1,206,332",5.42%,-19.10%
Laramie County,69.81%,53,"$39,868,558",7.20%,-42.76%
Lincoln County,90.00%,10,"$7,379,457",1.95%,-62.02%
Natrona County,73.68%,38,"$34,296,227",3.18%,-17.46%
Niobrara County,100.00%,1,"$281,332",-7.32%,-60.67%
Park County,70.37%,27,"$13,877,741",6.11%,-17.44%
Platte County,75.00%,4,"$15,233,564",-2.27%,-93.95%
Sheridan County,64.52%,31,"$40,331,356",14.30%,-14.17%
Sublette County,87.50%,8,"$2,143,221",-0.93%,-56.53%
Sweetwater County,85.71%,14,"$7,719,365",-0.02%,-55.41%
Teton County,36.17%,47,"$19,624,730",18.74%,6.55%
Uinta County,100.00%,6,"$10,992,548",2.23%,-70.59%
Washakie County,100.00%,9,"$13,662,481",-0.07%,-74.82%
Weston County,50.00%,2,"$413,654",7.71%,-23.31%
