Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",50.00%,36,"$9,668,302",15.73%,0.45%
Education,80.00%,25,"$30,934,893",3.55%,-48.73%
Environment and animals,46.15%,26,"$3,786,550",22.67%,2.67%
Health,77.42%,31,"$26,467,642",8.49%,-30.44%
Hospitals,50.00%,4,"$7,687,368",12.44%,7.47%
Human services,71.90%,121,"$81,960,147",5.71%,-26.56%
"International, foreign affairs",0.00%,1,"$29,727",10.18%,1.40%
Mutual/membership benefit,0.00%,1,"$15,625",32.95%,21.32%
"Public, societal benefit",69.23%,26,"$7,898,449",4.36%,-27.21%
Religion-related,25.00%,4,"$349,691",23.85%,15.52%
Unclassified,80.77%,104,"$101,091,784",1.95%,-60.28%
Universities,100.00%,1,"$1,116,784",10.93%,-9.73%
Total,70.26%,380,"$271,006,962",5.89%,-26.44%
