Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",74.69%,"9,364","$6,210,821,211",2.67%,-17.58%
Education,79.07%,"10,810","$42,688,340,816",4.21%,-26.96%
Environment and animals,66.80%,"3,729","$6,408,198,498",6.73%,-15.36%
Health,80.57%,"8,188","$28,230,953,131",3.28%,-24.65%
Hospitals,59.91%,"1,130","$8,328,290,493",2.40%,-2.28%
Human services,80.00%,"29,647","$67,025,442,127",3.26%,-32.65%
"International, foreign affairs",75.00%,788,"$12,190,482,710",1.48%,-22.43%
Mutual/membership benefit,77.97%,59,"$28,457,575",4.19%,-45.71%
"Public, societal benefit",79.19%,"7,442","$31,577,933,920",4.10%,-33.72%
Religion-related,71.23%,"1,425","$1,452,421,271",4.39%,-16.67%
Unclassified,79.58%,"19,457","$64,181,303,705",2.80%,-25.76%
Universities,68.65%,"1,075","$25,772,526,756",0.44%,-5.58%
Total,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
