Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Colorado,75.48%,"2,284","$3,804,469,597",3.59%,-19.07%
1st Congressional district,80.00%,560,"$1,138,337,810",1.95%,-30.91%
2nd Congressional district,74.42%,434,"$638,911,406",3.02%,-14.58%
3rd Congressional district,71.75%,492,"$349,506,993",5.38%,-17.67%
4th Congressional district,78.99%,138,"$86,274,393",3.63%,-18.08%
5th Congressional district,69.83%,179,"$219,550,306",4.97%,-8.75%
6th Congressional district,76.28%,156,"$266,902,820",1.37%,-18.74%
7th Congressional district,74.31%,218,"$957,684,099",6.06%,-18.32%
8th Congressional district,79.44%,107,"$147,301,770",2.92%,-19.95%
