Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.73%,198,"$84,709,010",1.91%,-16.51%
Education,74.19%,186,"$280,629,789",5.24%,-16.57%
Environment and animals,50.91%,55,"$62,649,630",14.57%,-1.74%
Health,83.09%,136,"$425,500,778",1.77%,-25.25%
Hospitals,80.00%,5,"$3,101,971",-5.48%,-7.32%
Human services,84.82%,461,"$945,490,253",0.75%,-36.87%
"International, foreign affairs",75.00%,12,"$500,265,214",1.02%,-7.89%
"Public, societal benefit",84.27%,89,"$188,860,024",0.00%,-43.61%
Religion-related,88.89%,9,"$13,228,622",11.58%,-17.69%
Unclassified,81.56%,358,"$847,354,432",1.30%,-29.37%
Universities,73.33%,15,"$821,576,492",1.35%,-5.12%
Total,79.59%,"1,524","$4,173,366,215",1.79%,-25.12%
