Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Illinois,78.48%,"3,058","$10,887,534,448",2.64%,-25.34%
Adams County,81.25%,32,"$43,307,682",1.35%,-29.95%
Alexander County,100.00%,1,"$1,743,500",4.51%,-92.90%
Bond County,100.00%,2,"$777,507",-7.41%,-44.17%
Boone County,71.43%,7,"$2,616,761",-1.26%,-58.35%
Brown County,100.00%,4,"$949,839",-8.54%,-63.52%
Bureau County,86.67%,15,"$10,870,799",-0.83%,-21.03%
Carroll County,75.00%,4,"$1,664,653",9.59%,-30.25%
Cass County,100.00%,3,"$5,378,513",-0.14%,-95.93%
Champaign County,74.24%,66,"$85,575,739",4.57%,-16.89%
Christian County,50.00%,6,"$7,427,655",7.90%,-16.61%
Clark County,50.00%,2,"$1,525,485",13.88%,-4.05%
Clay County,100.00%,1,"$37,600",-5.42%,-7.19%
Clinton County,60.00%,5,"$972,353",-3.48%,-36.13%
Coles County,100.00%,15,"$14,259,253",-1.69%,-57.86%
Cook County,78.80%,"1,500","$7,455,085,051",2.30%,-25.31%
Crawford County,66.67%,3,"$1,644,946",10.60%,-70.11%
Cumberland County,100.00%,4,"$23,254,216",9.09%,-34.39%
De Witt County,50.00%,2,"$98,543",23.13%,11.39%
DeKalb County,75.00%,20,"$36,584,729",5.00%,-55.25%
Douglas County,66.67%,3,"$482,929",-3.68%,-38.10%
DuPage County,66.24%,157,"$288,195,648",4.83%,-8.25%
Edgar County,66.67%,3,"$756,758",1.12%,-1.34%
Edwards County,0.00%,1,"$399,717",51.30%,15.15%
Effingham County,91.67%,12,"$31,060,938",0.54%,-55.23%
Fayette County,50.00%,4,"$1,553,384",8.82%,0.67%
Ford County,50.00%,2,"$342,612",22.26%,-0.01%
Franklin County,100.00%,5,"$12,023,176",6.11%,-72.61%
Fulton County,81.82%,11,"$4,711,930",6.65%,-19.59%
Greene County,100.00%,2,"$1,078,454",-29.37%,-61.69%
Grundy County,50.00%,4,"$451,926",19.16%,0.43%
Hamilton County,0.00%,1,"$746,181",34.82%,0.75%
Hancock County,100.00%,2,"$2,456,725",12.34%,-2.52%
Hardin County,100.00%,1,"$1,565,464",-12.73%,-72.36%
Henderson County,50.00%,2,"$4,587,994",13.09%,-24.31%
Henry County,75.00%,12,"$2,238,687",8.50%,-28.51%
Iroquois County,75.00%,8,"$5,258,747",3.52%,-18.80%
Jackson County,73.91%,23,"$19,725,160",3.79%,-31.20%
Jasper County,100.00%,1,"$74,649",21.74%,-4.31%
Jefferson County,100.00%,13,"$17,838,398",3.33%,-49.08%
Jersey County,100.00%,2,"$384,910",-15.73%,-75.49%
Jo Daviess County,62.50%,8,"$3,745,151",6.33%,-25.49%
Johnson County,100.00%,2,"$9,694,065",8.31%,-56.02%
Kane County,83.15%,89,"$852,012,386",4.48%,-23.30%
Kankakee County,92.00%,25,"$18,120,208",1.76%,-37.86%
Kendall County,66.67%,9,"$2,288,800",2.10%,-4.43%
Knox County,80.77%,26,"$24,414,339",-1.22%,-16.63%
LaSalle County,78.57%,28,"$12,951,614",5.63%,-21.03%
Lake County,74.39%,82,"$98,652,331",4.64%,-16.94%
Lawrence County,50.00%,2,"$778,766",8.69%,-15.12%
Lee County,87.50%,16,"$15,310,517",2.32%,-34.75%
Livingston County,87.50%,8,"$4,806,434",5.27%,-13.70%
Logan County,84.62%,13,"$16,216,248",1.02%,-38.95%
Macon County,90.91%,33,"$49,449,061",-2.73%,-50.41%
Macoupin County,75.00%,8,"$17,510,007",2.58%,-29.14%
Madison County,72.00%,50,"$52,098,887",1.21%,-17.03%
Marion County,70.00%,10,"$19,321,706",2.79%,-20.65%
Marshall County,80.00%,5,"$1,203,263",5.57%,-51.18%
Mason County,66.67%,3,"$692,293",-1.58%,-14.39%
Massac County,85.71%,7,"$1,662,453",7.11%,-57.68%
McDonough County,77.78%,9,"$9,113,375",-0.66%,-17.03%
McHenry County,80.65%,31,"$22,301,977",3.76%,-21.69%
McLean County,88.00%,50,"$429,979,415",3.14%,-66.71%
Menard County,100.00%,1,"$75,267",-3.99%,-20.74%
Mercer County,83.33%,6,"$1,190,827",8.93%,-31.65%
Monroe County,25.00%,4,"$97,289",14.21%,12.01%
Montgomery County,75.00%,4,"$675,484",3.58%,-82.25%
Morgan County,76.92%,13,"$9,312,363",3.58%,-28.07%
Moultrie County,83.33%,6,"$1,496,577",-5.89%,-18.53%
Ogle County,63.64%,11,"$3,012,588",7.53%,-11.58%
Peoria County,73.68%,76,"$134,414,803",3.76%,-22.01%
Perry County,100.00%,7,"$8,493,439",-0.70%,-76.45%
Piatt County,0.00%,1,"$42,970",12.57%,12.51%
Pike County,50.00%,2,"$656,291",11.07%,1.55%
Pope County,100.00%,1,"$323,803",1.62%,-97.13%
Pulaski County,100.00%,2,"$6,600,549",1.51%,-59.73%
Putnam County,100.00%,2,"$205,864",-48.61%,-95.30%
Randolph County,100.00%,2,"$12,270,559",2.26%,-68.04%
Richland County,100.00%,2,"$5,554,916",-7.95%,-57.92%
Rock Island County,71.74%,46,"$82,259,519",1.88%,-13.93%
Saline County,83.33%,6,"$4,217,698",-2.64%,-48.01%
Sangamon County,79.17%,96,"$239,985,509",0.73%,-27.49%
Schuyler County,50.00%,2,"$313,602",29.13%,10.35%
Shelby County,0.00%,1,"$1,061,959",23.38%,9.74%
St. Clair County,80.85%,47,"$182,360,245",3.56%,-39.74%
Stark County,0.00%,1,"$14,639",33.67%,27.17%
Stephenson County,85.71%,14,"$16,271,781",-1.71%,-51.86%
Tazewell County,66.67%,18,"$31,697,905",0.41%,-22.83%
Union County,100.00%,3,"$5,587,615",-1.88%,-25.99%
Vermilion County,100.00%,21,"$28,508,229",0.43%,-56.50%
Warren County,88.89%,9,"$1,949,036",-6.48%,-34.56%
Washington County,50.00%,2,"$394,886",3.71%,-30.18%
Wayne County,87.50%,8,"$14,411,672",14.30%,-29.26%
White County,100.00%,4,"$14,218,461",-1.42%,-82.84%
Whiteside County,100.00%,21,"$40,088,794",-5.92%,-30.38%
Will County,79.59%,49,"$105,319,375",5.40%,-22.06%
Williamson County,76.92%,13,"$25,850,121",7.83%,-44.81%
Winnebago County,81.82%,77,"$156,114,590",2.82%,-47.46%
Woodford County,40.00%,5,"$452,716",1.97%,0.43%
