Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Illinois,78.48%,"3,058","$10,887,534,448",2.64%,-25.34%
10th Congressional district,70.69%,116,"$130,834,454",4.42%,-13.58%
11th Congressional district,76.36%,110,"$840,502,909",3.96%,-18.70%
12th Congressional district,82.17%,157,"$248,010,363",3.79%,-39.74%
13th Congressional district,79.46%,258,"$592,605,114",1.82%,-35.27%
14th Congressional district,77.08%,96,"$156,803,223",4.44%,-21.49%
15th Congressional district,76.79%,168,"$143,823,877",1.16%,-17.85%
16th Congressional district,74.02%,127,"$83,498,190",2.32%,-24.45%
17th Congressional district,80.45%,312,"$888,199,928",2.80%,-29.92%
1st Congressional district,83.75%,160,"$2,102,884,669",1.24%,-48.64%
2nd Congressional district,88.68%,159,"$245,354,669",3.91%,-39.02%
3rd Congressional district,80.91%,110,"$347,394,054",3.57%,-25.04%
4th Congressional district,84.54%,97,"$396,431,664",2.55%,-37.05%
5th Congressional district,70.29%,175,"$279,957,802",4.21%,-13.98%
6th Congressional district,69.70%,99,"$291,925,697",4.58%,-12.29%
7th Congressional district,79.27%,632,"$3,636,192,065",1.51%,-26.98%
8th Congressional district,75.00%,112,"$221,687,402",3.31%,-20.34%
9th Congressional district,75.88%,170,"$281,428,368",2.52%,-18.99%
