Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Indiana,77.50%,"1,809","$3,227,236,787",3.09%,-25.54%
1st Congressional district,82.78%,151,"$411,287,678",2.63%,-42.66%
2nd Congressional district,77.52%,218,"$568,152,299",1.27%,-24.04%
3rd Congressional district,74.74%,190,"$240,305,616",2.40%,-16.71%
4th Congressional district,81.29%,139,"$123,654,351",3.62%,-22.56%
5th Congressional district,79.87%,149,"$179,753,985",1.80%,-25.72%
6th Congressional district,79.03%,124,"$111,715,330",-0.26%,-33.34%
7th Congressional district,73.54%,393,"$1,151,865,560",4.55%,-22.60%
8th Congressional district,77.29%,207,"$234,566,499",7.59%,-24.74%
9th Congressional district,78.57%,238,"$205,935,469",3.21%,-31.28%
