Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Kentucky,73.23%,"1,113","$2,292,883,175",6.49%,-18.48%
Adair County,0.00%,1,"$1,070,654",10.48%,9.05%
Allen County,20.00%,5,"$751,524",17.75%,12.03%
Anderson County,33.33%,3,"$313,904",11.85%,0.28%
Barren County,71.43%,7,"$4,727,244",27.07%,-4.98%
Bath County,0.00%,1,"$10,511",85.54%,84.02%
Bell County,66.67%,3,"$10,164,242",7.12%,-26.76%
Boone County,58.33%,12,"$6,873,608",12.07%,-4.01%
Bourbon County,83.33%,6,"$890,670",1.92%,-5.95%
Boyd County,92.86%,14,"$27,077,448",2.38%,-27.27%
Boyle County,62.50%,16,"$2,464,662",8.34%,-2.17%
Bracken County,100.00%,2,"$350,746",11.12%,-33.09%
Breathitt County,66.67%,3,"$9,511,626",0.82%,-97.02%
Breckinridge County,66.67%,3,"$930,258",3.82%,-4.67%
Bullitt County,80.00%,5,"$3,350,918",3.02%,-16.93%
Butler County,66.67%,3,"$373,825",27.89%,-1.81%
Caldwell County,100.00%,3,"$3,276,364",-2.15%,-31.71%
Calloway County,60.00%,5,"$1,253,651",14.34%,-64.96%
Campbell County,85.00%,20,"$27,391,259",3.99%,-23.28%
Carroll County,50.00%,4,"$371,646",16.84%,3.88%
Carter County,100.00%,1,"$14,058,804",5.78%,-77.63%
Christian County,88.89%,18,"$25,201,441",12.70%,-43.41%
Clark County,90.00%,10,"$3,783,007",2.05%,-72.28%
Clay County,100.00%,2,"$12,234,625",-3.34%,-39.06%
Crittenden County,100.00%,1,"$15,173",-2.65%,-27.59%
Cumberland County,100.00%,2,"$17,260,934",3.64%,-9.10%
Daviess County,69.05%,42,"$74,525,003",4.82%,-13.86%
Edmonson County,66.67%,3,"$1,344,228",11.18%,-6.45%
Estill County,100.00%,2,"$117,693",1.58%,-29.63%
Fayette County,72.11%,147,"$323,727,922",6.41%,-16.73%
Fleming County,100.00%,1,"$7,276,366",5.70%,-91.04%
Floyd County,92.86%,14,"$44,949,227",3.61%,-76.77%
Franklin County,87.50%,32,"$150,565,977",5.40%,-64.53%
Fulton County,100.00%,2,"$338,343",0.13%,-91.94%
Gallatin County,100.00%,1,"$5,791,574",14.29%,-40.62%
Grant County,100.00%,3,"$184,398",1.35%,-43.78%
Graves County,66.67%,9,"$6,248,663",30.73%,-11.16%
Grayson County,50.00%,2,"$4,380,662",5.39%,-46.35%
Greenup County,100.00%,2,"$5,230,840",12.51%,-81.92%
Hardin County,65.00%,20,"$20,719,443",9.65%,-18.65%
Harlan County,71.43%,7,"$7,650,927",23.83%,-31.69%
Harrison County,50.00%,2,"$571,743",6.92%,-3.66%
Hart County,100.00%,1,"$122,000",6.38%,-12.37%
Henderson County,87.50%,16,"$3,798,034",-5.69%,-26.38%
Hickman County,50.00%,4,"$137,874",32.51%,26.93%
Hopkins County,53.85%,13,"$4,199,833",10.86%,-1.70%
Jefferson County,71.64%,268,"$782,263,001",5.87%,-18.96%
Jessamine County,55.56%,9,"$13,424,064",5.42%,-0.25%
Johnson County,83.33%,6,"$21,260,043",3.36%,-56.61%
Kenton County,79.49%,39,"$80,559,283",5.66%,-18.91%
Knott County,75.00%,4,"$2,970,434",6.20%,-24.04%
Knox County,80.00%,5,"$27,920,212",2.70%,-23.48%
Larue County,0.00%,1,"$123,422",58.27%,20.51%
Laurel County,100.00%,12,"$19,405,513",0.31%,-65.86%
Lawrence County,100.00%,1,"$189,525",24.94%,-56.89%
Lee County,66.67%,3,"$6,804,366",3.60%,-27.01%
Letcher County,60.00%,5,"$13,151,192",7.12%,-10.92%
Lewis County,75.00%,4,"$10,202,550",7.90%,-15.72%
Lincoln County,50.00%,2,"$1,519,752",27.80%,-7.04%
Livingston County,100.00%,3,"$477,162",-0.61%,-15.49%
Logan County,80.00%,5,"$763,845",8.20%,-50.20%
Lyon County,100.00%,1,"$214,569",11.80%,-59.06%
Madison County,71.43%,21,"$76,014,543",6.98%,-17.09%
Magoffin County,100.00%,1,"$40,875",13.01%,-1.95%
Marion County,100.00%,3,"$20,309,895",20.41%,-20.06%
Marshall County,83.33%,6,"$1,887,676",21.34%,-11.20%
Martin County,100.00%,1,"$241,931",5.71%,-81.78%
Mason County,100.00%,8,"$4,109,317",3.72%,-24.10%
McCracken County,70.83%,24,"$16,001,183",4.93%,-18.69%
McCreary County,0.00%,1,"$218,457",25.45%,16.38%
Meade County,66.67%,3,"$387,034",14.91%,-65.59%
Mercer County,80.00%,5,"$1,694,999",5.93%,-25.84%
Metcalfe County,100.00%,2,"$116,000",-36.04%,-52.42%
Monroe County,100.00%,1,"$2,454,749",-4.51%,-16.25%
Montgomery County,88.89%,9,"$10,163,181",2.45%,-31.19%
Morgan County,100.00%,2,"$19,388,738",-5.15%,-95.28%
Muhlenberg County,100.00%,1,"$4,165,349",20.01%,-11.81%
Nelson County,60.00%,10,"$3,568,778",10.10%,-3.01%
Ohio County,50.00%,2,"$229,296",0.28%,-4.43%
Oldham County,50.00%,6,"$4,407,021",8.48%,-40.31%
Owen County,0.00%,1,"$11,500",90.18%,87.62%
Owsley County,100.00%,4,"$2,821,777",12.25%,-56.52%
Pendleton County,100.00%,1,"$20,000",-40.74%,-63.20%
Perry County,84.21%,19,"$105,795,054",4.59%,-23.59%
Pike County,69.23%,13,"$10,897,825",4.52%,-6.50%
Powell County,0.00%,1,"$141,545",51.94%,15.07%
Pulaski County,84.62%,13,"$30,477,476",1.43%,-39.52%
Rockcastle County,0.00%,2,"$1,016,850",8.80%,6.83%
Rowan County,100.00%,7,"$6,744,545",2.99%,-86.46%
Russell County,71.43%,7,"$17,975,358",2.01%,-66.14%
Scott County,77.78%,9,"$4,279,837",20.83%,-5.85%
Shelby County,60.00%,10,"$3,089,105",1.14%,-11.22%
Simpson County,87.50%,8,"$2,338,343",10.49%,-37.17%
Taylor County,100.00%,2,"$4,007,099",-5.37%,-10.90%
Todd County,0.00%,2,"$66,172",19.01%,14.91%
Trigg County,25.00%,4,"$3,356,224",10.96%,6.53%
Trimble County,0.00%,1,"$23,690",12.60%,1.86%
Union County,66.67%,3,"$2,550,174",18.11%,-3.39%
Warren County,62.22%,45,"$89,998,772",11.99%,-11.14%
Washington County,66.67%,3,"$1,932,204",1.74%,-3.02%
Wayne County,0.00%,1,"$274,363",18.96%,16.24%
Webster County,100.00%,1,"$4,146,319",15.05%,-4.37%
Whitley County,80.00%,5,"$17,409,119",11.74%,-14.01%
Woodford County,25.00%,4,"$1,272,375",9.54%,2.47%
