Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.29%,97,"$25,516,294",0.39%,-13.78%
Education,83.04%,171,"$1,271,515,336",6.31%,-53.30%
Environment and animals,66.67%,30,"$61,635,182",0.92%,-11.36%
Health,81.11%,90,"$296,477,706",2.17%,-30.39%
Hospitals,62.50%,16,"$36,545,225",-1.10%,-4.30%
Human services,85.09%,369,"$362,039,333",1.63%,-59.18%
"International, foreign affairs",50.00%,2,"$90,349",19.11%,-20.73%
"Public, societal benefit",83.70%,92,"$82,680,009",1.26%,-53.95%
Religion-related,63.64%,11,"$2,994,204",21.81%,-31.51%
Unclassified,85.28%,197,"$573,144,687",-0.43%,-51.45%
Universities,88.89%,9,"$260,022,970",-0.73%,-15.63%
Total,82.47%,"1,084","$2,972,661,295",1.87%,-44.78%
