Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.23%,73,"$10,764,306",1.86%,-10.52%
Education,70.00%,80,"$100,620,373",8.09%,-15.74%
Environment and animals,67.44%,43,"$18,545,792",7.99%,-34.18%
Health,81.54%,65,"$148,056,154",3.62%,-19.21%
Hospitals,87.50%,8,"$70,421,672",-3.28%,-15.23%
Human services,79.53%,215,"$219,027,420",5.19%,-44.16%
"International, foreign affairs",50.00%,2,"$411,893",24.68%,-7.64%
"Public, societal benefit",78.46%,65,"$78,287,607",2.44%,-48.42%
Religion-related,42.86%,7,"$889,122",5.30%,3.38%
Unclassified,85.19%,135,"$324,410,873",2.78%,-36.17%
Universities,50.00%,4,"$65,680,431",15.52%,-22.10%
Total,77.47%,697,"$1,037,115,643",4.42%,-29.75%
