Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",78.41%,176,"$81,974,307",0.14%,-22.72%
Education,79.70%,197,"$397,016,586",3.81%,-43.65%
Environment and animals,76.60%,141,"$350,509,101",5.34%,-43.26%
Health,83.33%,138,"$440,158,706",9.23%,-26.68%
Hospitals,70.00%,10,"$16,631,803",6.33%,-2.07%
Human services,80.70%,575,"$1,133,271,284",5.83%,-37.17%
"International, foreign affairs",66.67%,12,"$415,987,273",10.25%,-31.63%
"Public, societal benefit",80.28%,142,"$248,696,016",11.19%,-32.11%
Religion-related,76.19%,21,"$2,326,869",1.42%,-29.73%
Unclassified,80.12%,327,"$992,775,036",3.63%,-26.04%
Universities,55.56%,9,"$21,551,750",2.68%,-3.11%
Total,79.75%,"1,748","$4,100,898,731",5.15%,-31.71%
