Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Pennsylvania,78.00%,"5,518","$12,403,860,473",2.89%,-22.38%
Adams County,61.90%,42,"$37,646,653",10.89%,-5.81%
Allegheny County,80.08%,728,"$2,051,666,379",1.13%,-22.13%
Armstrong County,76.67%,30,"$14,583,333",4.51%,-19.02%
Beaver County,73.47%,49,"$38,493,182",2.39%,-34.87%
Bedford County,84.62%,26,"$44,548,141",1.23%,-54.67%
Berks County,74.81%,135,"$123,759,001",4.72%,-22.51%
Blair County,83.08%,65,"$122,354,442",5.22%,-44.81%
Bradford County,68.57%,35,"$26,357,800",7.26%,-28.69%
Bucks County,81.82%,176,"$198,265,035",3.58%,-31.03%
Butler County,78.87%,71,"$71,715,306",4.87%,-12.39%
Cambria County,82.56%,86,"$203,743,948",2.89%,-34.71%
Cameron County,100.00%,4,"$9,792,960",-4.95%,-40.62%
Carbon County,79.17%,24,"$2,592,475",3.42%,-22.22%
Centre County,75.32%,77,"$37,776,363",4.10%,-13.03%
Chester County,76.76%,185,"$149,653,900",4.68%,-16.81%
Clarion County,76.00%,25,"$7,779,733",2.63%,-31.99%
Clearfield County,72.92%,48,"$52,035,791",4.29%,-18.78%
Clinton County,72.00%,25,"$6,919,770",-0.78%,-37.54%
Columbia County,81.48%,27,"$10,896,923",4.95%,-12.22%
Crawford County,76.00%,50,"$58,435,157",4.29%,-29.42%
Cumberland County,77.57%,107,"$106,504,404",4.40%,-13.78%
Dauphin County,76.22%,164,"$797,013,339",1.37%,-24.29%
Delaware County,78.53%,163,"$261,053,567",2.31%,-22.88%
Elk County,78.57%,28,"$21,409,606",1.91%,-22.21%
Erie County,87.95%,166,"$240,306,621",0.61%,-35.65%
Fayette County,74.47%,47,"$30,277,818",5.90%,-21.19%
Forest County,100.00%,1,"$56,737",17.55%,-3.89%
Franklin County,76.56%,64,"$36,236,428",3.64%,-18.26%
Fulton County,85.71%,7,"$2,872,414",-0.85%,-8.12%
Greene County,81.25%,16,"$11,906,580",0.37%,-43.56%
Huntingdon County,80.00%,25,"$16,429,412",4.79%,-29.99%
Indiana County,80.56%,36,"$34,750,474",-1.10%,-32.54%
Jefferson County,75.00%,28,"$22,270,693",2.50%,-22.31%
Juniata County,69.23%,13,"$742,408",11.73%,-11.47%
Lackawanna County,71.96%,107,"$125,440,268",3.98%,-22.50%
Lancaster County,78.37%,208,"$134,096,939",1.85%,-16.34%
Lawrence County,89.74%,39,"$605,622,385",2.56%,-61.73%
Lebanon County,71.93%,57,"$16,388,099",6.16%,-24.26%
Lehigh County,78.26%,138,"$378,251,419",1.17%,-14.14%
Luzerne County,74.19%,93,"$139,367,405",2.16%,-19.76%
Lycoming County,91.84%,49,"$147,647,028",2.56%,-28.98%
McKean County,85.71%,21,"$16,689,043",6.58%,-28.47%
Mercer County,84.21%,57,"$99,031,147",1.34%,-27.20%
Mifflin County,76.92%,26,"$12,417,502",0.29%,-29.32%
Monroe County,79.59%,49,"$38,716,592",-2.60%,-55.39%
Montgomery County,79.50%,322,"$513,148,675",0.84%,-19.52%
Montour County,58.82%,17,"$45,161,954",0.74%,-6.74%
Northampton County,84.04%,94,"$129,332,142",1.33%,-23.38%
Northumberland County,81.48%,27,"$17,320,198",3.41%,-20.88%
Perry County,73.08%,26,"$2,544,589",1.05%,-16.47%
Philadelphia County,78.11%,740,"$4,368,705,446",3.18%,-23.17%
Pike County,90.91%,22,"$6,019,788",6.28%,-47.39%
Potter County,72.73%,11,"$1,530,451",13.69%,-13.32%
Schuylkill County,74.19%,62,"$27,908,293",3.03%,-14.68%
Snyder County,55.56%,9,"$2,359,013",8.67%,-4.09%
Somerset County,63.89%,36,"$66,915,549",9.22%,-14.78%
Sullivan County,33.33%,6,"$824,125",44.65%,9.38%
Susquehanna County,72.73%,22,"$17,306,467",9.73%,-7.10%
Tioga County,82.86%,35,"$17,893,403",0.64%,-30.76%
Union County,69.23%,26,"$42,511,100",3.00%,-15.76%
Venango County,84.21%,19,"$3,894,373",3.82%,-23.74%
Warren County,75.86%,29,"$24,189,937",2.34%,-26.99%
Washington County,76.06%,71,"$132,199,022",1.90%,-35.34%
Wayne County,58.06%,31,"$23,685,416",9.44%,-6.23%
Westmoreland County,73.39%,124,"$133,265,545",4.82%,-15.17%
Wyoming County,55.56%,18,"$4,460,938",10.09%,-2.68%
York County,75.97%,154,"$258,169,429",4.08%,-17.93%
