Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
South Carolina,80.62%,"1,233","$2,139,313,517",3.90%,-32.56%
Abbeville County,80.00%,5,"$3,067,445",9.69%,-52.60%
Aiken County,65.71%,35,"$46,195,019",6.94%,-16.74%
Allendale County,100.00%,3,"$6,532,801",-2.69%,-18.15%
Anderson County,81.25%,32,"$27,800,755",1.32%,-29.50%
Bamberg County,100.00%,7,"$31,483,891",6.26%,-72.29%
Barnwell County,100.00%,2,"$4,604,648",-9.80%,-77.60%
Beaufort County,75.00%,52,"$58,015,975",8.81%,-18.39%
Berkeley County,90.91%,11,"$37,165,304",-0.13%,-81.60%
Calhoun County,100.00%,2,"$83,659",-1.15%,-59.35%
Charleston County,70.95%,179,"$289,118,383",8.68%,-18.36%
Cherokee County,80.95%,21,"$11,732,119",8.74%,-42.78%
Chester County,87.50%,8,"$7,509,625",6.64%,-62.67%
Chesterfield County,83.33%,18,"$12,992,196",-3.64%,-64.84%
Clarendon County,90.00%,10,"$10,991,634",7.20%,-43.66%
Colleton County,87.50%,8,"$7,330,165",-7.98%,-67.91%
Darlington County,85.71%,14,"$33,614,299",-0.01%,-37.26%
Dillon County,66.67%,3,"$1,503,062",13.99%,-26.34%
Dorchester County,73.91%,23,"$8,784,163",1.77%,-28.26%
Edgefield County,80.00%,5,"$6,359,870",22.27%,-30.90%
Fairfield County,83.33%,6,"$7,050,723",4.89%,-32.20%
Florence County,71.74%,46,"$65,081,687",4.51%,-27.33%
Georgetown County,68.00%,25,"$8,217,976",13.64%,-22.71%
Greenville County,84.55%,123,"$288,945,740",1.90%,-25.60%
Greenwood County,81.48%,27,"$75,325,733",1.05%,-39.82%
Hampton County,100.00%,2,"$1,941,887",0.23%,-22.88%
Horry County,71.93%,57,"$108,254,515",7.06%,-22.90%
Jasper County,85.71%,7,"$28,447,363",0.23%,-35.62%
Kershaw County,88.89%,18,"$14,518,661",4.19%,-49.46%
Lancaster County,75.00%,12,"$11,079,605",10.49%,-49.12%
Laurens County,83.33%,12,"$8,165,986",3.48%,-28.62%
Lee County,100.00%,5,"$4,225,998",0.84%,-59.20%
Lexington County,82.93%,41,"$94,703,213",3.49%,-55.81%
Marion County,80.00%,5,"$8,354,351",6.45%,-63.03%
Marlboro County,100.00%,6,"$4,062,680",0.09%,-84.79%
McCormick County,66.67%,3,"$735,719",23.52%,-20.72%
Newberry County,85.71%,7,"$7,963,974",5.33%,-14.13%
Oconee County,90.91%,11,"$3,442,772",-10.05%,-39.57%
Orangeburg County,93.33%,15,"$41,900,934",8.92%,-47.07%
Pickens County,92.00%,25,"$23,585,692",9.04%,-44.81%
Richland County,87.15%,179,"$543,473,361",1.61%,-53.59%
Saluda County,0.00%,1,"$37,579",4.22%,4.01%
Spartanburg County,89.47%,76,"$72,597,016",-3.46%,-30.31%
Sumter County,85.71%,21,"$22,759,304",1.75%,-29.63%
Union County,60.00%,5,"$384,064",-1.47%,-22.26%
Williamsburg County,88.89%,9,"$2,553,721",2.52%,-74.34%
York County,76.47%,51,"$86,618,250",7.43%,-26.89%
