Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
South Dakota,71.29%,404,"$648,410,245",5.25%,-17.33%
Beadle County,88.89%,9,"$2,723,184",-1.96%,-31.08%
Bennett County,100.00%,4,"$2,013,308",-5.80%,-28.32%
Bon Homme County,50.00%,2,"$499,230",1.19%,-1.42%
Brookings County,92.86%,14,"$32,363,926",7.28%,-37.59%
Brown County,62.50%,16,"$9,905,056",7.34%,-7.74%
Brule County,80.00%,5,"$941,937",29.71%,-27.24%
Butte County,75.00%,4,"$3,016,247",7.49%,-58.95%
Charles Mix County,66.67%,9,"$28,662,010",6.48%,-29.91%
Clay County,100.00%,9,"$2,692,903",4.03%,-10.62%
Codington County,58.33%,12,"$20,572,521",9.46%,-4.63%
Corson County,100.00%,1,"$334,628",-11.17%,-96.87%
Custer County,100.00%,3,"$671,842",13.39%,-10.81%
Davison County,63.64%,11,"$8,788,138",7.62%,-4.16%
Day County,66.67%,3,"$5,470,134",3.02%,-72.35%
Deuel County,100.00%,1,"$16,667",-107.36%,-120.82%
Dewey County,80.00%,5,"$957,654",7.43%,-16.90%
Douglas County,0.00%,1,"$628,497",5.35%,0.42%
Fall River County,33.33%,3,"$1,202,640",7.91%,6.32%
Faulk County,100.00%,1,"$323,680",-2.14%,-5.06%
Gregory County,66.67%,3,"$748,927",-32.01%,-67.44%
Haakon County,0.00%,2,"$482,548",15.26%,13.64%
Hamlin County,0.00%,1,"$35,636",75.44%,38.85%
Hand County,100.00%,1,"$3,903",-7.70%,-9.17%
Hughes County,93.75%,16,"$20,980,881",-0.39%,-66.68%
Hutchinson County,50.00%,8,"$1,668,134",5.60%,-0.17%
Hyde County,0.00%,1,"$50,000",99.37%,88.24%
Jackson County,75.00%,8,"$59,857,560",3.42%,-49.20%
Jones County,0.00%,1,"$29,729",26.79%,7.93%
Lake County,70.00%,10,"$20,773,680",8.53%,-16.14%
Lawrence County,73.68%,19,"$4,957,403",5.60%,-24.85%
Lincoln County,75.00%,8,"$8,333,325",0.52%,-11.36%
Lyman County,100.00%,1,"$656,797",13.91%,-67.98%
Marshall County,50.00%,2,"$78,270",12.63%,-14.38%
McCook County,0.00%,1,"$47,862",99.53%,82.72%
McPherson County,100.00%,1,"$28,934",-13.37%,-14.01%
Meade County,83.33%,6,"$2,556,271",4.35%,-15.01%
Miner County,100.00%,2,"$14,017,163",-3.03%,-30.37%
Minnehaha County,60.76%,79,"$150,916,424",6.00%,-6.96%
Oglala Lakota County,44.44%,9,"$14,013,648",50.50%,18.43%
Pennington County,84.48%,58,"$165,647,229",0.59%,-29.08%
Perkins County,100.00%,4,"$1,949,477",16.10%,-54.25%
Potter County,100.00%,2,"$155,794",-19.55%,-56.37%
Roberts County,80.00%,5,"$18,380,470",10.19%,-73.52%
Stanley County,100.00%,4,"$4,572,804",13.44%,-24.54%
Todd County,100.00%,6,"$19,741,329",-0.49%,-76.90%
Tripp County,75.00%,4,"$3,953,350",-2.01%,-8.50%
Turner County,0.00%,2,"$360,841",25.60%,9.33%
Union County,75.00%,4,"$207,570",11.24%,-11.96%
Walworth County,75.00%,4,"$450,896",-5.07%,-12.33%
Yankton County,50.00%,16,"$6,733,107",5.26%,-3.87%
Ziebach County,0.00%,3,"$4,236,081",48.98%,26.41%
