Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Texas,76.97%,"4,012","$16,833,145,900",3.99%,-25.18%
10th Congressional district,66.13%,124,"$127,965,727",7.90%,-17.78%
11th Congressional district,76.64%,137,"$232,378,079",8.31%,-29.80%
12th Congressional district,68.47%,111,"$247,338,094",6.21%,-19.26%
13th Congressional district,80.79%,151,"$159,544,085",3.68%,-28.79%
14th Congressional district,84.62%,117,"$140,842,172",1.65%,-32.70%
15th Congressional district,80.77%,78,"$369,167,686",2.90%,-47.78%
16th Congressional district,81.72%,93,"$383,811,935",3.91%,-38.79%
17th Congressional district,81.40%,129,"$357,942,503",4.07%,-26.95%
18th Congressional district,76.98%,126,"$346,344,604",2.59%,-23.78%
19th Congressional district,83.33%,156,"$298,076,613",2.09%,-37.08%
1st Congressional district,82.31%,130,"$227,516,945",3.03%,-31.15%
20th Congressional district,86.30%,73,"$1,527,552,003",5.63%,-33.07%
21st Congressional district,67.48%,163,"$1,103,549,165",7.16%,-14.73%
22nd Congressional district,77.78%,72,"$51,358,951",5.90%,-22.88%
23rd Congressional district,74.03%,77,"$98,561,156",6.66%,-27.12%
24th Congressional district,65.79%,76,"$86,416,008",4.60%,-9.26%
25th Congressional district,79.21%,101,"$127,309,149",7.84%,-23.68%
26th Congressional district,63.04%,46,"$44,121,738",4.56%,-13.18%
27th Congressional district,79.82%,114,"$146,143,073",5.14%,-21.05%
28th Congressional district,84.15%,82,"$366,324,131",5.81%,-35.81%
29th Congressional district,80.43%,46,"$736,484,112",8.29%,-41.70%
2nd Congressional district,65.22%,46,"$334,419,648",3.17%,-7.38%
30th Congressional district,71.70%,212,"$1,159,576,491",0.60%,-27.53%
31st Congressional district,73.12%,93,"$170,810,595",4.55%,-19.42%
32nd Congressional district,81.19%,101,"$437,765,374",0.86%,-28.82%
33rd Congressional district,80.25%,81,"$490,321,439",3.79%,-20.69%
34th Congressional district,87.50%,72,"$1,223,569,545",3.99%,-34.91%
35th Congressional district,86.70%,218,"$1,667,772,469",1.81%,-29.74%
36th Congressional district,76.83%,82,"$95,451,608",4.77%,-29.19%
37th Congressional district,74.10%,278,"$940,385,076",3.61%,-20.39%
38th Congressional district,62.79%,86,"$129,237,617",8.32%,-8.87%
3rd Congressional district,71.74%,46,"$29,107,234",7.61%,-20.79%
4th Congressional district,80.25%,81,"$127,871,816",3.13%,-24.97%
5th Congressional district,75.47%,53,"$89,859,607",13.36%,-36.32%
6th Congressional district,85.25%,61,"$161,266,437",1.13%,-32.38%
7th Congressional district,72.85%,151,"$540,283,267",3.74%,-15.05%
8th Congressional district,75.00%,48,"$40,155,375",3.42%,-30.10%
9th Congressional district,75.25%,101,"$2,016,544,373",2.34%,-23.99%
