Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Vermont,77.60%,701,"$659,338,082",2.75%,-19.59%
Addison County,76.74%,43,"$39,535,696",5.04%,-10.64%
Bennington County,76.09%,46,"$27,353,849",2.51%,-18.29%
Caledonia County,78.38%,37,"$29,240,673",1.06%,-14.61%
Chittenden County,79.87%,149,"$180,472,166",3.12%,-19.24%
Franklin County,69.57%,23,"$24,817,815",4.72%,-31.61%
Grand Isle County,57.14%,7,"$842,037",17.20%,-14.51%
Lamoille County,76.92%,26,"$16,072,488",9.77%,-16.52%
Orange County,79.41%,34,"$12,145,608",0.62%,-33.68%
Orleans County,77.42%,31,"$25,864,707",5.93%,-13.07%
Rutland County,80.00%,40,"$40,868,648",1.67%,-33.90%
Washington County,79.13%,115,"$147,282,484",0.00%,-26.26%
Windham County,75.00%,72,"$68,270,892",6.87%,-10.61%
Windsor County,76.92%,78,"$46,571,019",0.43%,-25.68%
