Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Washington,77.46%,"2,498","$6,096,686,643",3.68%,-23.23%
Adams County,100.00%,2,"$12,241,004",18.89%,-3.80%
Asotin County,83.33%,6,"$1,864,382",-2.19%,-19.51%
Benton County,77.27%,44,"$79,777,660",2.67%,-17.91%
Chelan County,67.92%,53,"$77,421,875",5.69%,-9.99%
Clallam County,77.27%,44,"$24,055,200",9.52%,-18.60%
Clark County,72.94%,85,"$170,962,691",6.32%,-16.21%
Columbia County,66.67%,3,"$390,093",7.12%,-20.91%
Cowlitz County,72.73%,22,"$34,363,142",3.78%,-31.10%
Douglas County,33.33%,3,"$6,524,100",11.35%,2.96%
Franklin County,83.33%,12,"$20,607,811",4.50%,-47.28%
Grant County,83.33%,12,"$22,187,490",10.40%,-20.21%
Grays Harbor County,80.77%,26,"$37,857,328",1.94%,-31.27%
Island County,71.43%,28,"$5,577,603",3.19%,-10.23%
Jefferson County,75.86%,29,"$30,980,998",4.32%,-17.66%
King County,78.59%,"1,023","$3,676,207,098",2.68%,-24.49%
Kitsap County,63.29%,79,"$125,849,004",6.72%,-6.72%
Kittitas County,77.27%,22,"$23,667,022",6.04%,-24.28%
Klickitat County,90.91%,11,"$13,738,632",2.49%,-52.57%
Lewis County,65.22%,23,"$15,113,126",9.43%,-25.65%
Lincoln County,100.00%,1,"$240,367",50.43%,-31.36%
Mason County,93.33%,15,"$27,470,832",2.23%,-34.33%
Okanogan County,83.33%,30,"$35,905,130",6.05%,-25.45%
Pacific County,90.91%,11,"$3,780,707",3.37%,-26.99%
Pend Oreille County,100.00%,3,"$2,297,606",10.67%,-85.52%
Pierce County,80.60%,201,"$388,263,428",3.82%,-29.08%
San Juan County,60.00%,40,"$9,514,393",12.15%,-5.69%
Skagit County,72.55%,51,"$33,213,318",4.10%,-23.94%
Skamania County,80.00%,5,"$1,250,991",8.93%,-26.74%
Snohomish County,82.17%,129,"$251,257,210",2.67%,-27.89%
Spokane County,83.53%,170,"$316,199,127",2.55%,-28.78%
Stevens County,53.85%,13,"$29,000,646",11.41%,-2.13%
Thurston County,80.58%,103,"$150,952,825",3.51%,-24.78%
Walla Walla County,68.97%,29,"$33,045,774",0.73%,-17.50%
Whatcom County,71.43%,91,"$113,152,981",5.19%,-14.04%
Whitman County,92.86%,14,"$22,701,854",1.79%,-68.00%
Yakima County,73.85%,65,"$299,053,195",1.75%,-23.68%
