Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",66.67%,108,"$88,069,514",5.71%,-11.09%
Education,86.30%,219,"$917,342,469",3.62%,-47.57%
Environment and animals,66.04%,53,"$52,126,651",2.70%,-13.54%
Health,85.86%,99,"$525,969,213",1.79%,-32.90%
Hospitals,33.33%,12,"$167,061,041",6.14%,1.85%
Human services,79.87%,308,"$480,506,841",3.07%,-26.27%
"International, foreign affairs",100.00%,7,"$126,731,120",-6.58%,-60.07%
"Public, societal benefit",81.94%,72,"$120,615,880",3.28%,-41.81%
Religion-related,66.67%,18,"$48,821,956",9.57%,-7.76%
Unclassified,78.42%,190,"$1,239,838,557",2.19%,-24.99%
Universities,83.33%,6,"$29,158,699",1.12%,-11.87%
Total,79.03%,"1,092","$3,796,241,941",3.18%,-26.34%
