Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
California,80.38%,"7,532","$39,065,517,903",2.51%,-33.20%
Alameda County,78.64%,604,"$3,330,528,860",1.19%,-32.11%
Alpine County,100.00%,1,"$179,704",8.81%,-48.04%
Amador County,83.33%,12,"$5,996,486",-4.06%,-57.43%
Butte County,81.82%,55,"$239,801,551",7.23%,-47.32%
Calaveras County,88.89%,9,"$26,844,351",5.01%,-20.07%
Colusa County,100.00%,4,"$1,772,298",-9.26%,-60.84%
Contra Costa County,78.33%,203,"$318,146,415",2.80%,-23.83%
Del Norte County,100.00%,10,"$9,886,826",17.65%,-64.12%
El Dorado County,78.57%,28,"$169,330,462",4.24%,-52.74%
Fresno County,87.41%,135,"$588,145,965",4.82%,-47.21%
Glenn County,50.00%,2,"$13,871,898",12.33%,-43.28%
Humboldt County,89.71%,68,"$294,998,518",1.56%,-55.83%
Imperial County,100.00%,18,"$43,369,945",6.43%,-66.86%
Inyo County,77.78%,9,"$28,986,608",9.06%,-19.85%
Kern County,86.84%,76,"$793,734,314",2.23%,-47.42%
Kings County,81.82%,11,"$63,589,202",11.33%,-34.58%
Lake County,100.00%,15,"$30,754,696",6.35%,-75.17%
Lassen County,100.00%,6,"$10,635,948",3.80%,-91.39%
Los Angeles County,82.04%,"1,810","$11,583,164,590",2.31%,-37.12%
Madera County,83.33%,12,"$67,200,217",5.02%,-66.04%
Marin County,71.33%,150,"$255,516,900",3.94%,-15.75%
Mariposa County,87.50%,8,"$8,452,923",12.42%,-40.92%
Mendocino County,82.98%,47,"$280,294,645",5.33%,-30.19%
Merced County,68.42%,19,"$64,316,676",10.75%,-10.96%
Modoc County,71.43%,7,"$5,824,730",8.91%,-53.40%
Mono County,72.73%,11,"$5,924,661",7.04%,-26.25%
Monterey County,72.94%,85,"$112,055,393",6.37%,-11.98%
Napa County,78.57%,56,"$109,117,487",2.64%,-24.71%
Nevada County,88.00%,50,"$63,060,586",1.19%,-30.73%
Orange County,74.65%,355,"$1,122,006,791",3.21%,-19.79%
Placer County,69.33%,75,"$281,874,208",3.15%,-14.81%
Plumas County,83.33%,18,"$32,129,123",-0.17%,-56.92%
Riverside County,74.47%,235,"$680,680,748",6.83%,-24.59%
Sacramento County,81.79%,368,"$2,280,977,851",3.89%,-40.02%
San Benito County,81.82%,11,"$42,360,784",0.13%,-28.92%
San Bernardino County,81.82%,187,"$1,891,494,811",3.28%,-48.63%
San Diego County,77.97%,622,"$3,821,299,209",2.83%,-28.86%
San Francisco County,85.10%,631,"$2,184,672,374",1.67%,-36.55%
San Joaquin County,84.62%,78,"$757,813,501",4.76%,-40.45%
San Luis Obispo County,63.10%,84,"$190,382,480",4.91%,-20.69%
San Mateo County,77.42%,155,"$2,281,776,865",2.32%,-30.39%
Santa Barbara County,74.63%,134,"$711,983,720",2.82%,-19.92%
Santa Clara County,74.76%,309,"$2,047,873,091",1.88%,-21.08%
Santa Cruz County,77.32%,97,"$108,763,807",2.19%,-20.83%
Shasta County,89.83%,59,"$434,307,412",4.87%,-46.78%
Sierra County,100.00%,5,"$2,016,407",6.50%,-80.89%
Siskiyou County,91.67%,24,"$28,626,564",1.15%,-71.17%
Solano County,84.31%,51,"$135,026,717",3.50%,-34.36%
Sonoma County,83.93%,168,"$300,660,228",-0.15%,-39.23%
Stanislaus County,85.96%,57,"$168,415,725",2.53%,-38.89%
Sutter County,76.92%,13,"$92,685,850",9.37%,-74.26%
Tehama County,71.43%,7,"$11,821,295",2.31%,-41.70%
Trinity County,100.00%,6,"$15,339,041",1.96%,-51.67%
Tulare County,84.09%,44,"$157,244,530",4.03%,-27.03%
Tuolumne County,100.00%,11,"$20,618,722",6.41%,-68.64%
Ventura County,82.99%,147,"$611,054,638",1.07%,-39.11%
Yolo County,92.00%,50,"$98,071,240",0.08%,-43.73%
Yuba County,80.00%,10,"$28,037,316",8.00%,-82.21%
