Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",78.43%,408,"$326,503,557",2.43%,-19.31%
Education,79.81%,515,"$2,957,241,881",3.21%,-24.60%
Environment and animals,67.39%,138,"$122,843,794",6.07%,-9.92%
Health,86.36%,308,"$1,690,506,320",2.04%,-42.24%
Hospitals,60.00%,15,"$17,241,055",0.77%,-4.79%
Human services,85.18%,"1,019","$3,300,854,495",1.37%,-45.40%
"International, foreign affairs",88.24%,34,"$76,584,541",0.01%,-32.77%
Mutual/membership benefit,66.67%,3,"$227,088",0.81%,-0.79%
"Public, societal benefit",82.98%,235,"$665,080,877",1.41%,-33.45%
Religion-related,72.34%,47,"$19,901,562",3.46%,-12.70%
Unclassified,82.52%,555,"$2,886,418,745",1.62%,-35.43%
Universities,42.86%,28,"$818,794,084",4.52%,1.37%
Total,81.63%,"3,305","$12,882,197,999",2.14%,-30.99%
