Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Georgia,81.10%,"1,524","$4,742,927,447",2.39%,-31.52%
10th Congressional district,84.93%,73,"$306,184,981",6.61%,-18.07%
11th Congressional district,79.45%,73,"$110,006,579",4.66%,-21.91%
12th Congressional district,88.37%,86,"$279,657,254",2.01%,-51.95%
13th Congressional district,91.43%,70,"$60,041,024",-0.09%,-74.84%
14th Congressional district,81.16%,69,"$41,728,711",4.55%,-44.41%
1st Congressional district,83.04%,112,"$151,840,835",3.14%,-33.22%
2nd Congressional district,80.12%,161,"$310,993,709",2.80%,-31.54%
3rd Congressional district,76.12%,67,"$58,797,089",0.00%,-28.20%
4th Congressional district,84.11%,107,"$247,625,399",2.66%,-35.13%
5th Congressional district,78.87%,355,"$2,808,241,921",1.49%,-28.82%
6th Congressional district,78.07%,114,"$110,367,387",2.71%,-24.41%
7th Congressional district,83.78%,74,"$55,345,694",1.44%,-20.07%
8th Congressional district,81.58%,76,"$128,610,957",0.79%,-44.19%
9th Congressional district,73.56%,87,"$73,485,907",7.20%,-16.80%
