Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.73%,132,"$54,048,988",1.91%,-15.65%
Education,79.80%,198,"$647,013,446",3.41%,-27.17%
Environment and animals,74.14%,58,"$21,249,186",3.74%,-19.37%
Health,84.00%,125,"$269,372,354",3.29%,-33.84%
Hospitals,68.18%,22,"$82,893,850",-0.92%,-6.13%
Human services,84.08%,534,"$585,370,048",2.35%,-40.68%
"International, foreign affairs",93.75%,16,"$448,889,828",4.01%,-72.89%
Mutual/membership benefit,100.00%,3,"$3,782,210",-2.50%,-91.84%
"Public, societal benefit",84.68%,124,"$314,939,871",1.46%,-52.87%
Religion-related,79.41%,34,"$44,026,366",1.72%,-14.95%
Unclassified,80.53%,262,"$947,979,464",2.01%,-38.23%
Universities,56.25%,16,"$1,323,361,836",2.91%,-4.86%
Total,81.10%,"1,524","$4,742,927,447",2.39%,-31.52%
