Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.57%,61,"$32,094,055",4.31%,-9.42%
Education,77.78%,72,"$90,279,799",7.16%,-21.62%
Environment and animals,61.29%,31,"$19,444,206",4.24%,-16.15%
Health,79.76%,84,"$124,048,700",4.75%,-19.69%
Hospitals,47.06%,17,"$62,825,932",10.83%,1.63%
Human services,79.63%,270,"$274,210,227",3.45%,-31.86%
"International, foreign affairs",100.00%,2,"$405,316",12.51%,-22.69%
"Public, societal benefit",78.08%,73,"$156,991,902",4.54%,-34.73%
Religion-related,85.00%,20,"$12,891,034",7.37%,-31.86%
Unclassified,72.58%,186,"$654,850,767",5.55%,-19.67%
Universities,75.00%,8,"$10,899,560",2.00%,-2.09%
Total,75.49%,824,"$1,438,941,498",5.11%,-23.39%
