Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Louisiana,84.62%,943,"$2,155,185,622",2.40%,-42.34%
Acadia Parish,66.67%,6,"$4,523,427",10.24%,-46.74%
Allen Parish,100.00%,4,"$4,239,234",4.82%,-78.47%
Ascension Parish,80.00%,5,"$2,590,678",2.73%,-60.05%
Assumption Parish,80.00%,5,"$3,453,973",15.77%,-63.34%
Avoyelles Parish,100.00%,10,"$9,821,262",4.78%,-66.81%
Beauregard Parish,100.00%,3,"$1,115,831",10.88%,-84.37%
Bienville Parish,0.00%,1,"$109,903",44.66%,40.51%
Bossier Parish,84.62%,13,"$34,630,758",7.91%,-58.00%
Caddo Parish,84.06%,69,"$82,462,658",2.25%,-27.98%
Calcasieu Parish,68.97%,29,"$21,469,388",7.74%,-13.96%
Caldwell Parish,100.00%,1,"$369,473",9.52%,-20.71%
Cameron Parish,100.00%,1,"$933,386",-8.32%,-107.03%
Catahoula Parish,100.00%,1,"$9,560,000",2.17%,-86.67%
Claiborne Parish,100.00%,2,"$3,800,810",4.93%,-91.90%
Concordia Parish,100.00%,5,"$6,943,529",-12.03%,-90.05%
De Soto Parish,50.00%,2,"$1,212,777",-0.53%,-39.68%
East Baton Rouge Parish,85.16%,128,"$265,492,353",3.90%,-36.88%
East Carroll Parish,100.00%,1,"$303,421",-7.60%,-80.50%
East Feliciana Parish,100.00%,2,"$6,597,125",3.29%,-12.83%
Evangeline Parish,88.89%,9,"$1,945,953",-3.91%,-73.20%
Franklin Parish,100.00%,5,"$1,507,214",1.34%,-38.88%
Grant Parish,100.00%,1,"$403,841",4.84%,-91.41%
Iberia Parish,60.00%,5,"$5,394,618",1.70%,-77.88%
Iberville Parish,66.67%,6,"$7,043,100",12.11%,-69.35%
Jackson Parish,100.00%,1,"$409,484",-0.91%,-39.00%
Jefferson Davis Parish,100.00%,4,"$1,743,161",3.19%,-69.88%
Jefferson Parish,83.93%,56,"$132,580,112",3.91%,-55.07%
LaSalle Parish,100.00%,3,"$607,338",11.28%,-38.42%
Lafayette Parish,83.13%,83,"$68,750,093",-1.91%,-72.61%
Lafourche Parish,75.00%,16,"$23,476,683",8.92%,-37.86%
Lincoln Parish,92.86%,14,"$17,010,302",0.02%,-32.01%
Livingston Parish,80.00%,5,"$667,436",1.34%,-95.06%
Madison Parish,100.00%,3,"$9,151,599",-3.74%,-79.06%
Morehouse Parish,100.00%,4,"$7,951,683",-6.45%,-39.15%
Natchitoches Parish,100.00%,12,"$9,320,641",-0.55%,-76.56%
Orleans Parish,84.62%,221,"$1,087,887,056",2.15%,-29.19%
Ouachita Parish,88.24%,34,"$49,891,303",0.00%,-55.52%
Plaquemines Parish,100.00%,3,"$21,883,719",2.40%,-73.39%
Pointe Coupee Parish,100.00%,3,"$4,090,676",5.41%,-18.95%
Rapides Parish,85.29%,34,"$41,819,187",1.95%,-39.70%
Red River Parish,100.00%,1,"$573,621",-3.21%,-61.06%
Richland Parish,100.00%,1,"$387,447",4.23%,-74.92%
Sabine Parish,100.00%,2,"$4,083,829",-2.86%,-95.47%
St. Bernard Parish,50.00%,2,"$291,500",4.04%,-42.97%
St. Charles Parish,85.71%,7,"$9,604,541",3.46%,-8.95%
St. James Parish,0.00%,1,"$1,000,000",80.43%,13.60%
St. John the Baptist Parish,100.00%,5,"$4,391,682",2.40%,-89.73%
St. Landry Parish,93.33%,15,"$15,155,101",1.47%,-50.50%
St. Mary Parish,100.00%,7,"$24,030,854",6.51%,-36.92%
St. Tammany Parish,82.14%,28,"$25,543,007",4.12%,-27.84%
Tangipahoa Parish,100.00%,17,"$55,995,495",3.02%,-52.91%
Tensas Parish,100.00%,2,"$1,821,865",-2.52%,-82.61%
Terrebonne Parish,75.00%,20,"$38,361,379",18.37%,-19.29%
Union Parish,40.00%,5,"$776,423",12.14%,12.11%
Vermilion Parish,75.00%,4,"$467,967",0.44%,-67.99%
Vernon Parish,50.00%,2,"$603,795",29.23%,-28.50%
Washington Parish,100.00%,6,"$10,980,547",-0.40%,-98.58%
Webster Parish,66.67%,3,"$295,757",-6.06%,-10.24%
West Carroll Parish,100.00%,3,"$1,074,951",6.03%,-62.74%
West Feliciana Parish,100.00%,1,"$427,866",-7.80%,-106.42%
Winn Parish,0.00%,1,"$6,152,810",22.66%,5.92%
