Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Michigan,76.12%,"2,119","$4,697,979,203",2.88%,-24.77%
10th Congressional district,81.55%,103,"$93,524,713",1.63%,-55.40%
11th Congressional district,80.15%,131,"$282,306,319",2.48%,-34.00%
12th Congressional district,84.26%,108,"$316,649,964",0.66%,-25.89%
13th Congressional district,79.30%,227,"$869,578,716",1.60%,-36.60%
1st Congressional district,71.53%,288,"$327,807,705",6.01%,-17.63%
2nd Congressional district,73.04%,115,"$107,201,885",3.23%,-21.84%
3rd Congressional district,71.23%,212,"$474,271,688",3.25%,-15.58%
4th Congressional district,70.37%,216,"$258,020,796",2.88%,-14.93%
5th Congressional district,74.80%,123,"$76,963,564",3.77%,-19.36%
6th Congressional district,75.00%,156,"$915,866,380",4.46%,-16.43%
7th Congressional district,82.42%,182,"$646,270,984",1.56%,-31.35%
8th Congressional district,79.21%,178,"$267,824,153",2.54%,-27.30%
9th Congressional district,75.00%,80,"$61,692,336",3.03%,-32.53%
