Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Montana,75.15%,515,"$523,894,496",3.36%,-21.76%
Beaverhead County,75.00%,8,"$1,333,935",-2.05%,-21.37%
Big Horn County,50.00%,4,"$15,349,043",21.09%,-5.52%
Blaine County,100.00%,1,"$143,582",-2.43%,-65.97%
Carbon County,100.00%,9,"$2,538,943",0.64%,-24.37%
Carter County,66.67%,3,"$589,395",-4.87%,-13.16%
Cascade County,80.00%,35,"$64,779,457",4.22%,-25.36%
Chouteau County,75.00%,4,"$13,517,816",14.20%,-11.72%
Custer County,83.33%,6,"$7,262,604",12.17%,-56.54%
Daniels County,0.00%,1,"$127,982",6.86%,5.80%
Dawson County,100.00%,2,"$6,932,703",19.10%,-43.72%
Deer Lodge County,100.00%,6,"$6,923,870",-6.15%,-65.06%
Fallon County,100.00%,2,"$582,959",23.69%,-18.48%
Fergus County,75.00%,8,"$4,209,074",-4.92%,-63.26%
Flathead County,69.05%,42,"$22,666,590",1.05%,-13.71%
Gallatin County,63.49%,63,"$34,201,247",10.32%,-12.41%
Glacier County,100.00%,6,"$6,845,198",21.99%,-53.74%
Granite County,100.00%,1,"$353,662",6.67%,-71.75%
Hill County,90.00%,10,"$14,626,492",13.45%,-34.04%
Jefferson County,75.00%,4,"$1,282,767",14.25%,-40.45%
Lake County,66.67%,12,"$6,517,946",13.17%,-35.41%
Lewis and Clark County,75.00%,44,"$64,752,686",0.29%,-21.43%
Liberty County,50.00%,2,"$12,750",0.57%,-0.13%
Lincoln County,90.00%,10,"$12,108,732",5.82%,-51.24%
Madison County,40.00%,5,"$561,430",5.38%,2.95%
McCone County,100.00%,1,"$11,094",-1.45%,-1.66%
Meagher County,0.00%,1,"$38,824",6.45%,6.01%
Mineral County,100.00%,1,"$437,882",-7.31%,-11.17%
Missoula County,81.08%,74,"$84,266,038",0.79%,-15.01%
Musselshell County,50.00%,2,"$3,946,239",1.60%,-30.57%
Park County,76.92%,13,"$4,304,577",-3.05%,-24.23%
Petroleum County,100.00%,1,"$554,252",13.81%,-73.26%
Phillips County,100.00%,2,"$545,515",-13.20%,-59.81%
Pondera County,100.00%,1,"$1,584,244",-12.31%,-112.21%
Powell County,100.00%,4,"$1,960,566",10.09%,-46.96%
Ravalli County,82.35%,17,"$16,024,140",1.69%,-41.57%
Richland County,40.00%,5,"$2,648,633",5.68%,1.66%
Roosevelt County,75.00%,4,"$14,029,154",12.70%,-17.18%
Rosebud County,100.00%,5,"$10,645,982",-12.14%,-41.60%
Sanders County,75.00%,8,"$4,989,081",0.91%,-52.98%
Sheridan County,0.00%,1,"$719,910",3.54%,0.37%
Silver Bow County,90.48%,21,"$21,847,031",1.14%,-43.92%
Stillwater County,75.00%,4,"$223,228",11.73%,-15.48%
Sweet Grass County,50.00%,2,"$69,025",-13.68%,-47.63%
Toole County,100.00%,1,"$1,602,722",2.18%,-13.83%
Valley County,100.00%,6,"$1,518,156",-21.81%,-32.89%
Wheatland County,0.00%,1,"$346,122",5.58%,2.71%
Yellowstone County,63.46%,52,"$63,361,218",6.76%,-18.55%
