Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Nebraska,73.32%,626,"$823,150,402",3.86%,-20.37%
Adams County,73.68%,19,"$20,324,440",1.91%,-27.77%
Antelope County,0.00%,1,"$200,000",91.70%,15.06%
Arthur County,0.00%,1,"$12,000",140.33%,201.47%
Box Butte County,100.00%,3,"$703,969",2.25%,-83.67%
Boyd County,50.00%,2,"$715,012",46.13%,13.34%
Brown County,0.00%,2,"$273,085",60.31%,50.38%
Buffalo County,85.00%,20,"$24,366,314",0.54%,-22.93%
Burt County,80.00%,5,"$8,054,113",32.91%,-10.84%
Butler County,100.00%,2,"$1,501,800",15.38%,-36.03%
Cedar County,100.00%,1,"$113,668",-15.88%,-34.97%
Chase County,100.00%,1,"$19,639",-15.96%,-30.94%
Cherry County,100.00%,1,"$152,500",1.88%,-97.50%
Cheyenne County,50.00%,4,"$8,541,757",10.87%,3.18%
Clay County,100.00%,3,"$286,508",-9.43%,-10.51%
Colfax County,33.33%,3,"$419,697",12.24%,10.83%
Cuming County,75.00%,4,"$675,265",3.76%,-15.03%
Custer County,87.50%,8,"$1,711,772",0.42%,-36.59%
Dakota County,66.67%,6,"$1,097,155",7.53%,-33.15%
Dawes County,100.00%,4,"$6,316,316",-5.34%,-53.86%
Dawson County,90.91%,11,"$6,908,222",4.90%,-12.23%
Deuel County,100.00%,1,"$5,000",-14.15%,-18.98%
Dixon County,0.00%,2,"$79,601",37.49%,13.51%
Dodge County,80.00%,10,"$6,148,701",4.47%,-41.40%
Douglas County,72.95%,207,"$350,260,446",0.77%,-18.89%
Furnas County,75.00%,4,"$358,500",10.04%,-12.38%
Gage County,75.00%,12,"$3,548,502",5.39%,-14.70%
Garfield County,50.00%,4,"$2,466,266",40.94%,8.40%
Greeley County,100.00%,1,"$21,774",-7.01%,-33.11%
Hall County,94.44%,18,"$11,506,089",-8.71%,-42.42%
Hamilton County,75.00%,4,"$1,190,459",-7.56%,-18.32%
Harlan County,100.00%,1,"$177,038",-2.43%,-74.74%
Hitchcock County,100.00%,1,"$400,212",23.04%,-27.63%
Holt County,50.00%,6,"$4,575,111",9.48%,-7.33%
Hooker County,100.00%,1,"$272,177",11.13%,-82.77%
Howard County,100.00%,1,"$133,660",12.30%,-52.00%
Jefferson County,50.00%,6,"$12,047,926",0.90%,-12.40%
Johnson County,100.00%,3,"$1,393,817",35.48%,-47.50%
Kearney County,50.00%,2,"$159,836",6.30%,0.37%
Keith County,100.00%,1,"$292,012",30.06%,-20.39%
Lancaster County,68.93%,103,"$219,554,767",5.21%,-23.53%
Lincoln County,100.00%,17,"$13,951,602",7.11%,-70.03%
Madison County,75.00%,16,"$14,263,706",2.94%,-25.14%
Merrick County,16.67%,6,"$733,164",30.46%,14.55%
Morrill County,100.00%,1,"$136,063",23.39%,-32.45%
Nance County,100.00%,2,"$324,291",28.47%,-48.63%
Nemaha County,100.00%,1,"$8,699",-4.80%,-9.69%
Nuckolls County,66.67%,3,"$461,101",41.55%,-3.90%
Otoe County,50.00%,6,"$537,809",6.31%,-5.70%
Perkins County,66.67%,3,"$911,399",33.09%,-2.03%
Phelps County,71.43%,7,"$2,138,893",0.72%,-1.76%
Pierce County,0.00%,1,"$41,311",1.58%,1.14%
Platte County,100.00%,4,"$6,875,724",8.80%,-51.98%
Polk County,100.00%,1,"$208,293",-5.35%,-8.65%
Red Willow County,100.00%,4,"$622,679",-0.37%,-41.42%
Richardson County,33.33%,3,"$3,619,206",5.14%,4.79%
Saline County,33.33%,3,"$3,072,292",79.88%,25.60%
Sarpy County,58.33%,12,"$39,809,421",28.01%,-1.71%
Saunders County,66.67%,3,"$268,304",54.06%,-4.44%
Scotts Bluff County,87.50%,16,"$11,724,612",2.64%,-17.51%
Seward County,83.33%,6,"$1,101,355",-9.54%,-65.88%
Sheridan County,100.00%,2,"$247,291",-4.95%,-59.48%
Sherman County,100.00%,3,"$14,421,798",-0.98%,-54.04%
Thayer County,100.00%,1,"$44,628",-0.37%,-1.69%
Thurston County,33.33%,3,"$7,734,767",52.05%,42.03%
Valley County,0.00%,1,"$1,000,000",83.67%,18.33%
Washington County,50.00%,2,"$398,578",4.57%,3.34%
Wayne County,50.00%,2,"$55,500",15.11%,12.92%
Webster County,0.00%,1,"$340,159",52.95%,42.45%
York County,85.71%,7,"$1,112,631",-4.70%,-38.07%
