Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
New Hampshire,73.95%,522,"$714,231,710",2.93%,-17.02%
Belknap County,72.22%,18,"$8,024,399",10.65%,-8.53%
Carroll County,72.22%,36,"$11,353,279",5.85%,-11.14%
Cheshire County,88.00%,25,"$15,224,247",-1.03%,-12.10%
Coos County,81.82%,22,"$28,842,359",2.91%,-24.25%
Grafton County,58.62%,58,"$184,197,432",6.35%,-10.43%
Hillsborough County,79.26%,135,"$195,535,960",-0.96%,-30.28%
Merrimack County,78.22%,101,"$156,641,070",2.68%,-20.69%
Rockingham County,65.75%,73,"$58,440,463",3.82%,-11.42%
Strafford County,71.43%,42,"$51,647,080",3.24%,-20.05%
Sullivan County,75.00%,12,"$4,325,421",7.14%,-25.27%
