Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
New Jersey,81.23%,"1,939","$5,060,003,975",2.67%,-29.65%
Atlantic County,80.00%,65,"$67,068,420",-0.33%,-34.50%
Bergen County,77.36%,159,"$313,455,539",3.33%,-18.31%
Burlington County,83.10%,71,"$159,167,741",2.23%,-22.38%
Camden County,81.37%,102,"$262,821,638",2.81%,-46.27%
Cape May County,63.89%,36,"$13,569,835",7.68%,-6.68%
Cumberland County,84.21%,38,"$158,077,802",5.47%,-41.38%
Essex County,86.57%,201,"$966,771,252",1.52%,-44.60%
Gloucester County,83.33%,36,"$75,691,373",4.28%,-36.74%
Hudson County,90.32%,93,"$286,655,959",2.16%,-53.61%
Hunterdon County,78.85%,52,"$22,839,061",4.79%,-18.61%
Mercer County,80.36%,168,"$746,056,082",1.50%,-25.52%
Middlesex County,80.65%,124,"$587,306,850",4.46%,-33.15%
Monmouth County,74.53%,161,"$366,522,522",1.94%,-19.63%
Morris County,80.88%,136,"$239,399,390",1.94%,-21.90%
Ocean County,81.62%,136,"$111,973,825",0.92%,-21.09%
Passaic County,85.15%,101,"$260,987,125",3.56%,-47.18%
Salem County,72.22%,18,"$11,050,716",5.76%,-31.60%
Somerset County,84.71%,85,"$94,925,954",4.03%,-30.33%
Sussex County,70.97%,31,"$16,130,145",8.84%,-23.05%
Union County,82.35%,102,"$266,225,303",3.98%,-27.38%
Warren County,87.50%,24,"$33,307,443",-0.30%,-52.35%
