Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.45%,"1,070","$971,592,087",0.24%,-18.44%
Education,81.30%,754,"$2,626,232,028",0.95%,-18.56%
Environment and animals,69.57%,207,"$595,470,029",5.37%,-16.11%
Health,81.64%,610,"$3,361,919,248",2.10%,-21.84%
Hospitals,58.46%,65,"$491,663,913",1.35%,-0.58%
Human services,79.58%,"1,841","$3,991,133,122",1.93%,-30.49%
"International, foreign affairs",77.22%,79,"$716,628,200",-0.14%,-18.02%
Mutual/membership benefit,66.67%,3,"$536,940",18.19%,-12.10%
"Public, societal benefit",81.98%,505,"$2,067,467,570",1.60%,-37.26%
Religion-related,78.12%,64,"$98,844,569",0.82%,-14.18%
Unclassified,83.50%,"1,461","$6,955,719,279",0.91%,-27.52%
Universities,64.06%,64,"$2,085,987,006",0.39%,-4.35%
Total,79.79%,"6,723","$23,963,193,991",1.32%,-23.19%
