Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
North Carolina,78.82%,"2,644","$6,426,540,832",4.43%,-32.90%
10th Congressional district,82.86%,210,"$524,783,686",2.84%,-32.24%
11th Congressional district,74.61%,323,"$284,162,312",5.90%,-20.01%
12th Congressional district,75.00%,156,"$280,571,124",2.99%,-29.49%
13th Congressional district,83.02%,106,"$108,036,316",6.54%,-45.34%
14th Congressional district,72.56%,164,"$315,713,859",6.19%,-20.08%
1st Congressional district,81.69%,213,"$231,087,474",3.38%,-43.77%
2nd Congressional district,81.64%,256,"$1,496,927,140",1.92%,-34.51%
3rd Congressional district,86.36%,198,"$144,007,533",3.23%,-50.88%
4th Congressional district,75.96%,183,"$2,061,058,623",1.41%,-26.28%
5th Congressional district,80.50%,241,"$279,996,739",4.97%,-32.67%
6th Congressional district,76.76%,142,"$148,628,101",7.32%,-28.30%
7th Congressional district,74.68%,154,"$232,840,816",7.08%,-27.49%
8th Congressional district,78.48%,158,"$189,671,748",7.10%,-46.29%
9th Congressional district,78.57%,140,"$129,055,361",3.79%,-41.34%
