Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Tennessee,77.76%,"1,731","$3,337,052,539",3.96%,-29.39%
1st Congressional district,79.28%,222,"$243,461,436",2.73%,-31.93%
2nd Congressional district,79.56%,181,"$269,503,705",2.60%,-28.01%
3rd Congressional district,77.51%,209,"$308,954,139",5.17%,-28.99%
4th Congressional district,71.82%,110,"$80,610,709",5.27%,-25.11%
5th Congressional district,66.05%,162,"$187,877,081",5.24%,-13.79%
6th Congressional district,77.32%,194,"$298,115,276",4.38%,-33.94%
7th Congressional district,80.57%,247,"$1,208,996,882",5.18%,-27.60%
8th Congressional district,77.71%,157,"$180,992,595",4.63%,-30.47%
9th Congressional district,83.13%,249,"$558,540,716",2.21%,-34.50%
