Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.36%,412,"$151,626,622",3.20%,-14.61%
Education,77.87%,366,"$2,740,404,109",1.69%,-33.39%
Environment and animals,65.77%,111,"$332,599,246",5.98%,-12.75%
Health,85.11%,282,"$747,606,333",1.42%,-36.05%
Hospitals,48.48%,33,"$134,461,815",7.37%,2.69%
Human services,81.08%,"1,189","$4,476,616,432",3.00%,-34.60%
"International, foreign affairs",86.21%,29,"$8,579,300",3.70%,-45.33%
Mutual/membership benefit,100.00%,5,"$401,178",3.92%,-19.17%
"Public, societal benefit",83.33%,270,"$1,424,792,132",3.23%,-47.29%
Religion-related,77.27%,110,"$136,679,431",4.01%,-25.21%
Unclassified,83.29%,694,"$2,816,936,302",1.54%,-30.64%
Universities,51.35%,37,"$321,672,564",5.42%,-1.22%
Total,79.40%,"3,538","$13,292,375,464",2.48%,-29.22%
