Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Washington,79.45%,"2,243","$5,611,495,042",2.47%,-27.16%
10th Congressional district,80.42%,143,"$277,724,147",4.54%,-27.68%
1st Congressional district,71.31%,122,"$113,304,433",6.57%,-14.49%
2nd Congressional district,78.08%,260,"$287,006,109",5.35%,-24.37%
3rd Congressional district,79.14%,139,"$220,292,173",3.07%,-26.49%
4th Congressional district,78.21%,156,"$503,271,290",2.84%,-28.35%
5th Congressional district,81.62%,234,"$401,780,058",2.85%,-36.11%
6th Congressional district,80.43%,276,"$437,989,327",2.49%,-24.31%
7th Congressional district,80.17%,464,"$1,723,846,482",0.11%,-24.22%
8th Congressional district,70.27%,148,"$113,283,454",5.33%,-16.36%
9th Congressional district,85.05%,301,"$1,532,997,569",0.42%,-44.38%
