Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.75%,268,"$65,600,097",-0.89%,-17.26%
Education,73.51%,185,"$183,769,107",2.88%,-15.69%
Environment and animals,67.12%,146,"$650,048,473",6.44%,-18.22%
Health,81.58%,152,"$579,913,667",1.77%,-33.66%
Hospitals,94.12%,17,"$257,079,777",-3.00%,-10.71%
Human services,84.51%,723,"$1,207,945,302",2.16%,-38.63%
"International, foreign affairs",73.91%,23,"$770,150,791",6.28%,-28.07%
"Public, societal benefit",79.53%,215,"$207,872,908",3.07%,-38.87%
Religion-related,66.67%,21,"$9,507,775",8.51%,-14.92%
Unclassified,79.58%,480,"$1,653,596,435",3.07%,-26.00%
Universities,76.92%,13,"$26,010,710",0.03%,-3.45%
Total,79.45%,"2,243","$5,611,495,042",2.47%,-27.16%
