Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Indiana,65.24%,"2,051","$3,305,071,391",10.03%,-11.39%
Congressional District 1,70.35%,172,"$458,168,090",9.72%,-14.74%
Congressional District 2,62.50%,248,"$550,567,148",8.17%,-8.17%
Congressional District 3,53.21%,218,"$220,880,686",11.96%,-1.23%
Congressional District 4,68.59%,156,"$115,857,350",8.55%,-13.06%
Congressional District 5,63.19%,182,"$226,063,006",12.33%,-8.69%
Congressional District 6,66.67%,144,"$158,997,230",8.32%,-17.38%
Congressional District 7,64.96%,468,"$1,128,246,880",9.44%,-12.76%
Congressional District 8,67.59%,216,"$230,374,452",11.70%,-14.25%
Congressional District 9,72.06%,247,"$215,916,549",10.53%,-18.79%
