Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.21%,106,"$51,106,538",12.97%,-7.38%
Education (Excluding Universities),74.60%,189,"$1,094,822,725",7.62%,-31.89%
Environment and Animals,56.25%,32,"$55,093,496",18.59%,-9.19%
Health (Excluding Hospitals),71.70%,106,"$323,318,093",8.28%,-18.25%
Hospitals,58.82%,17,"$144,722,509",3.58%,-5.45%
Human Services,77.33%,397,"$349,279,012",5.84%,-48.73%
"International, Foreign Affairs",33.33%,3,"$59,238",1.51%,0.72%
"Public, Societal Benefit",64.66%,116,"$87,511,763",9.73%,-30.44%
Religion Related,42.11%,19,"$5,239,517",26.94%,3.79%
Unclassified,75.11%,221,"$515,518,359",6.59%,-28.60%
Universities,75.00%,8,"$243,099,421",5.42%,-18.18%
Total,72.08%,"1,214","$2,869,770,671",7.97%,-27.48%
