Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
North Carolina,69.55%,"3,264","$7,190,690,326",9.29%,-19.34%
Congressional District 1,77.63%,228,"$299,632,760",6.45%,-39.30%
Congressional District 10,73.56%,174,"$213,236,798",6.85%,-21.83%
Congressional District 11,60.86%,442,"$511,329,848",13.20%,-10.22%
Congressional District 12,70.19%,104,"$211,490,970",7.36%,-20.49%
Congressional District 13,69.23%,156,"$418,944,785",7.54%,-25.12%
Congressional District 14,67.84%,227,"$433,413,497",7.16%,-10.86%
Congressional District 2,61.76%,272,"$737,583,330",10.36%,-4.47%
Congressional District 3,78.22%,225,"$196,986,716",8.90%,-44.95%
Congressional District 4,66.04%,318,"$1,510,269,651",11.91%,-13.41%
Congressional District 5,69.05%,378,"$455,747,170",9.27%,-21.54%
Congressional District 6,74.87%,199,"$259,274,628",5.78%,-23.11%
Congressional District 7,79.80%,203,"$1,552,543,152",7.84%,-25.91%
Congressional District 8,68.68%,182,"$194,142,908",11.30%,-28.58%
Congressional District 9,70.51%,156,"$196,094,113",8.78%,-19.88%
