Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
Ohio,71.45%,"4,025","$7,999,510,499",7.17%,-17.50%
Congressional District 1,61.83%,372,"$975,066,029",8.89%,-9.95%
Congressional District 10,68.80%,250,"$517,350,921",7.62%,-14.86%
Congressional District 11,72.79%,463,"$1,643,515,289",9.03%,-16.73%
Congressional District 12,68.18%,220,"$292,813,524",9.17%,-14.08%
Congressional District 13,74.31%,288,"$489,406,560",6.11%,-22.24%
Congressional District 14,67.11%,152,"$189,682,023",10.36%,-14.93%
Congressional District 15,75.68%,222,"$442,503,043",5.97%,-19.77%
Congressional District 2,61.76%,170,"$324,428,073",8.74%,-9.68%
Congressional District 3,85.31%,565,"$1,089,842,017",1.97%,-58.79%
Congressional District 4,70.85%,295,"$327,226,336",5.61%,-21.97%
Congressional District 5,68.35%,218,"$186,287,640",10.92%,-10.80%
Congressional District 6,67.73%,220,"$294,113,159",8.80%,-10.62%
Congressional District 7,65.36%,153,"$512,510,769",10.94%,-9.27%
Congressional District 8,65.41%,133,"$101,821,743",10.03%,-7.57%
Congressional District 9,73.03%,304,"$612,943,373",5.61%,-18.69%
