Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.05%,341,"$263,650,974",15.23%,-7.87%
Education (Excluding Universities),78.60%,458,"$1,048,218,003",8.48%,-39.09%
Environment and Animals,48.41%,126,"$351,476,653",18.17%,4.50%
Health (Excluding Hospitals),75.07%,365,"$1,032,476,665",7.10%,-17.26%
Hospitals,48.78%,41,"$580,246,423",6.17%,0.22%
Human Services,74.92%,"1,332","$1,621,546,800",5.15%,-25.29%
"International, Foreign Affairs",50.00%,16,"$2,337,272",13.62%,-3.59%
Mutual/Membership Benefit,100.00%,1,"$4,048,815",16.63%,-82.76%
"Public, Societal Benefit",72.14%,341,"$619,148,951",10.24%,-19.03%
Religion Related,70.18%,114,"$70,150,922",4.99%,-19.66%
Unclassified,69.06%,837,"$1,769,148,054",6.61%,-16.21%
Universities,66.04%,53,"$637,060,967",4.63%,-3.97%
Total,71.45%,"4,025","$7,999,510,499",7.17%,-17.50%
