SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-10,0,154,0,"$60,475,144",16.37%,7.02%,2.924%,7.6023%,2.924%,171
ART,-34,0,58,0,"$16,816,700",25.00%,15.32%,6.452%,2.4194%,1.613%,124
EDU,-16,0,18,0,"$115,706,688",21.77%,3.63%,3.226%,2.4194%,6.048%,248
ENV,-896,0,100,0,"$16,832,745",11.58%,1.05%,3.158%,4.2105%,4.211%,95
HEL,96,0,38,0,"$71,299,212",18.24%,4.71%,4.118%,2.9412%,4.118%,170
HMS,-20,0,32,0,"$195,630,541",15.23%,5.81%,6.613%,4.2084%,4.609%,499
HOS,106,0,6,6,$0,8.33%,8.33%,8.333%,8.3333%,8.333%,12
IFA,2,2,54,0,"$3,740,322",12.50%,5.00%,5.000%,2.5000%,5.000%,40
MMB,,,126,126,"$3,500",100.00%,100.00%,100.000%,100.0000%,100.000%,1
PSB,-18,0,88,0,"$39,156,812",11.11%,3.33%,3.333%,3.3333%,3.333%,180
REL,-78,-4,30,0,"$1,037,919",9.38%,1.56%,3.125%,1.5625%,3.125%,64
UNI,24,24,0,0,"$2,638,059",100.00%,50.00%,50.000%,50.0000%,50.000%,2
UNU,6,8,6,0,"$178,699",28.57%,14.29%,14.286%,14.2857%,14.286%,7
