SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",3 462,0,18,0,"$160,694,120",21.43%,10.71%,3.57%,7.14%,10.71%,56
ART,2,0,158,0,"$60,206,397",17.54%,15.79%,14.04%,1.75%,3.51%,57
EDU,8,-2,6,0,"$202,969,555",22.92%,12.50%,2.08%,6.25%,6.25%,96
ENV,-300,0,28,0,"$2,387,166",17.95%,7.69%,7.69%,2.56%,5.13%,39
HEL,724,4,140,0,"$63,784,372",11.54%,7.69%,7.69%,5.77%,5.77%,52
HMS,2,0,14,0,"$192,500,987",19.30%,6.43%,4.09%,6.43%,3.51%,171
HOS,0,0,2,2,"$4,480,791",16.67%,16.67%,16.67%,33.33%,16.67%,6
IFA,8,12,4,0,"$19,764,173",57.14%,28.57%,14.29%,14.29%,14.29%,7
PSB,14,2,26,0,"$83,630,392",14.75%,8.20%,3.28%,6.56%,6.56%,61
REL,16,18,42,4,"$2,409,741",10.00%,10.00%,10.00%,20.00%,10.00%,10
UNI,0,0,0,0,$0,33.33%,33.33%,33.33%,33.33%,33.33%,3
UNU,-2,0,,,$0,50.00%,50.00%,50.00%,50.00%,50.00%,2
